oids
16445187
16445188
16445189
16470620
16470621
16470622
2112378
2055221
2021935
2021936
2026340
2037121
2021937
2021944
16470623
2021945
16474480
16474481
16474482
16474483
16474484
16474485
11873773
16474486
16474487
16474488
16474489
16474490
16474492
16474494
16474495
16474496
16474497
16474498
16474499
16474500
16474501
16474502
16474503
10542695
11687436
16474504
16474505
16474506
16474507
16474508
16474509
16474510
16474511
16474512
2012448
2053339
10563288
16474513
16474514
16474516
16474517
16562138
10050109
16474519
16474520
16474521
16474522
10050111
16479148
16479149
16479150
16479151
10050068
16479152
16479153
16479154
16479155
16479156
16479157
16479158
16479159
16479160
16479161
16479162
16479163
16479164
16479165
16043328
15497747
10050108
10050069
16479166
16479169
16479170
16479171
16479172
16479173
16477251
2056764
16477252
16477256
16477257
16477259
16477260
16477261
2056767
16477267
16477268
16477269
16482190
16482191
16482192
16482193
16482194
10187001
2042311
2043604
2042285
2042284
15691083
15691084
2044020
2043605
10187004
2043606
10187005
2043607
2044021
2041653
2044022
2012327
10187160
16740236
16740237
16740238
16740239
10985805
16482195
2012196
16576819
16482196
2065255
16482197
2065256
16482198
15763386
16482199
10033736
16482200
16482201
16482202
16482203
16482204
16482205
16482206
16482207
16482208
16482209
16576820
16482210
12131202
16651598
16597821
16597823
16597826
16597824
16597825
16651596
16651597
16652592
16652593
16627524
16832853
16490941
2040580
16490942
16490944
15475226
16490945
16490946
17063552
10171927
16165974
16165977
16652817
16685551
16652818
16685552
16685553
16696510
16655415
16652819
16652910
16685581
16685542
16685583
16685584
16652961
16662396
16662397
2025171
2013216
2020780
2020782
16662398
2020779
2020781
16662399
16662400
2020776
2020778
10050257
10050258
2020783
2020784
16490947
16490948
16490949
16490950
16490951
16490952
16490953
16490954
16490955
16490958
16490959
16490960
2043808
16490961
16490962
16490963
16490965
16490966
16490967
16490968
16490969
16490970
16470626
16490971
10597382
10597383
16686997
10597384
2066865
15349750
16686998
2017250
16593812
10597386
10597690
10597691
10597692
2057100
10597693
10597694
16686999
16687000
10516629
10592594
2064361
2057102
2057270
14897178
10059134
16056601
10592595
16687001
10592596
16687002
2057691
2057692
2057693
16687003
16687004
16687005
15349821
15350956
10592599
16687006
10592600
10593173
16687008
10597696
10593177
16687009
2057104
2057271
10597697
2015368
16687010
2053504
16687011
16687012
10593366
2055263
10629789
10606461
10597742
10189982
10597743
2057105
10597744
2066869
2109583
16687013
16687014
16687015
16687016
10259930
10267794
16687017
16687018
16687019
16687020
16687021
16687022
16687023
16687024
2037292
16687025
16687026
16687027
16687028
10157396
10259931
16687029
10259932
16687030
16687031
16687032
16687033
16687034
16687035
16687036
16687037
16687038
15350957
15351438
10597745
16687039
16687040
16687041
16687042
16687043
16687044
16687045
16687046
2109585
16687047
16687048
16687049
16687050
16687051
16687052
16687053
16687054
16687055
16687056
10259933
16687057
10253989
10597746
16687058
16687059
2064362
16687060
16687061
16687062
10189983
2008330
2008331
2008332
11022677
2008334
2008335
2008336
2008574
2008575
2008576
2008577
2008578
2008579
2008580
2008581
2008582
2008583
2008584
2008585
2008586
2008588
2008589
2008590
2008591
2008592
2008593
2008594
2008595
2008596
2008597
2008598
2008599
2008600
2008601
2008602
2008603
2008604
2008605
2008606
2008607
2008894
2008608
2008609
2008610
2008611
2008612
2008613
2008614
2008615
2008616
2008617
2008618
2008621
2008622
2008623
2008624
2008625
2008626
2008627
2008628
2008629
2008630
2008631
2008632
2008633
2008634
2008635
2008636
2008637
2008638
2008639
2008640
2008641
2008642
2008643
2008644
2008645
2008646
2008647
2008648
2008649
2008650
2008651
2008652
2008653
2008654
2008655
2008656
2008657
2008658
2008659
2008660
2008661
2008662
2008663
2008664
2008665
2008666
2008667
2008668
2008669
2008670
2008671
2008672
2008673
2008674
2008675
2008676
2008677
2008678
2008679
2008680
2008681
2008682
2008683
2008684
2008685
2008686
2008687
2008688
2008689
2008690
2008691
2008692
2008693
2008694
2008695
2008696
2008697
2008698
2008699
2008700
2008895
2008896
2008897
2008898
2008899
2008900
2008901
2008902
2008904
2008905
2008906
2008907
2008903
2008908
2008909
2008910
2008911
2008912
2008913
2008914
2008915
2008916
2008917
2008918
2008919
2008920
2008921
2008922
2008923
2008924
2008925
2008926
2008927
